experiment,requests,concurrency,users,successful,failed,throughput_rps,dropout_percent,p50_ms,p95_ms,p99_ms,elapsed_seconds,feed_ratio,message_count,message_p50_ms,message_p95_ms,feed_count,feed_p50_ms,feed_p95_ms
threshold4-c25,750,25,25,310,440,8.32,58.67,55.19,5000.69,5001.14,37.25,0.15,633,52.58,3041.66,117,3010.19,5001.14
threshold16-c25,750,25,25,417,333,10.97,44.40,60.44,5000.58,5001.07,38.00,0.15,635,57.16,3869.23,115,3010.56,5001.08
